mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
spépieuse,"Personne méticuleuse à l’extrême, maniaque.",non,oui
spépieux,"Méticuleux à l’extrême, maniaque. | Personne méticuleuse à l’extrême, maniaque.",non,non
stater,"Arrêter, suspendre (les travaux).",non,oui
sterfput,Puisard ; siphon de cour ; coupe-air.,non,non
sterput,Variante orthographique de sterfput.,non,non
stoemp,"Purée de pommes de terre et de légumes mêlés typique de Bruxelles, généralement servie avec une saucisse.",non,oui
stouffer,Fanfaronner.,non,non
stoumper,Pousser.,non,non
streu,Trop étroit pour pouvoir passer facilement.,non,oui
striquer,"Dépasser, être en bataille, en parlant d'un cheveu ou d'une mèche de cheveux.",non,oui
strogner,"Flouer, mais par petites doses, subrepticement, par exemple en rognant sur des quantités, etc.",non,non
stud,Crampon.,non,oui
stuut,"Imprévu, problème. | Truc, machin.",non,non
subside,"Subvention, fonds que l’État accorde à une entreprise pour la soutenir.",non,oui
subsidiation,Subventionnement.,non,non
subsidier,Subventionner.,non,oui
surannable,Qui peut faire l'objet d'une prescription.,non,non
surtaxe,Amende.,non,oui
suédoise,"Alliance politique de majorité parlementaire de 2014, de même couleur que le drapeau suédois, réunissant des partis libéraux de droite ou de centre-droit, le Mouvement réformateur (MR) et Open Vlaamse Liberalen en Democraten (Open VLD) de couleur bleu, le parti démocrate-chrétien Christen-Democratisch en Vlaams (CD&V) de couleur bleu et jaune, et le parti nationaliste flamand conservateur Nieuw-Vlaamse Alliantie (N-VA) de couleur jaune.",non,oui
Suédoise,Variante orthographique de suédoise.,non,oui
syllabus,Photocopies ou imprimés servant de support à un cours d’université.,non,oui
sécheuse,Machine qui sert à sécher le linge.,non,oui
sémaphone,Bipeur.,non,non
séniorie,Maison de retraite.,non,non
s’accaparer,Forme pronominale de accaparer.,non,non
s’astruquer,Avaler de travers.,non,non
tabaquier,"Marchand de tabac, buraliste.",non,non
tablard,"déformation de tablier, blouse blanche portée par les étudiants baptisés et décorée par leurs soins",non,oui
tamponne,Cuite.,non,oui
tantôt,"ou Peu de temps avant ou après, tout à l’heure, jusqu’à maintenant.",non,oui
tape-cul,Trappe permettant d'accéder au grenier ou à la cave d’une maison. On la nomme aussi tape-cou ou clape-cul.,non,oui
tapis-plain,moquette.,non,non
taque,"Couvercle, en métal, de trou d’homme utilisé par la voirie. | Plaque chauffante, de cuisson.",non,oui
tartinière,Planche à tartiner.,non,non
taximan,Chauffeur de taxi.,non,oui
tcheu,"Expression principalement utilisée sous la forme tcheu dis pour exprimer l’étonnement, la surprise.",non,oui
tcholle,Pénis.,non,non
tchop,Nourriture. (Mot originaire du Congo belge),non,oui
tchoper,"Manger, prendre un repas.",non,non
tchouktchouk,Train.,non,oui
tchouler,"Pleurer, chialer.",non,non
tenture,Rideau de fenêtre épais.,non,oui
terne,"lieu pentu, variante de tienne ou de thier. Il fait souvent partie de toponymes.",non,oui
terraqueur,Maître ou héritier du fonds sous lequel on exploite une mine.,non,non
testing,Test comparatif.,non,oui
tichke,"Petit zizi, également utilisé pour nommer affectueusement une personne.",non,non
tienne,"Côte, montée, tertre.",non,oui
tiger-kidnappeur,"Personne qui pratique le tiger-kidnapping, qui enlève une personne afin de forcer un proche à l'aider à commettre un crime.",non,non
tiger-kidnapping,"Enlèvement dans le but de forcer quelqu’un à aider à commettre un crime, généralement précédé par une longue observation de la victime afin de connaître toutes ses habitudes et ses faiblesses.",non,non
tirette,"Dispositif (cordon, languette métallique ou plastique) servant à ouvrir ou à fermer quelque chose (comme des rideaux, un gant, un lavabo, une boîte de conserve, etc.).; Fermeture éclair. | Fait d’alterner le passage des véhicules de deux bandes de circulation lorsque ces bandes fusionnent en une seule.",non,oui
titre-service,"Chèque utilisé en Belgique comme moyen de paiement pour des services de proximité, permettant de bénéficier d’une réduction fiscale sur le montant des titres achetés équivalente à 30 % de la valeur des titres.",non,non
toche,Femme.,non,oui
tof,"Chouette, sympathique. | Onomatopée dont on se sert pour exprimer la satisfaction ; chic.",non,oui
toilette,Appareil sanitaire servant à recueillir et à évacuer les besoins naturels. | (souvent pluriel) Pièce où se trouvent des installations sanitaires pour faire ses besoins naturels.,non,oui
toiturier,Couvreur.,non,non
torchon,Serpillière.,non,oui
touche-touche,Jeu d’enfants où un des participants doit toucher un de ses camarades qui devient chasseur à son tour.,non,oui
training,Survêtement.,non,oui
traitillé,"Série de traits courts formant une ligne (un segment, une droite, une courbe, un cadre, etc.). | Style de traçage d’une ligne de tous types.",non,oui
tribune,Déambulateur.,non,oui
triclée,Grande quantité.,non,non
trinqueballer,Trimballer.,non,non
tute,(Champagne-Ardenne) Sucette en matière souple données aux bébés pour combler leur besoin de succion et les apaiser.,non,oui
tuter,Sucer une tute.,non,oui
tutler,"Boire trop d’alcool, biberonner.",non,non
tutoyer,"Se faire tutoyer : être copieusement engueulé, se faire passer un savon (à mettre en rapport avec le fait que l’on ne tutoie pas en dialectes wallons car c’est considéré comme excessivement familier voire grossier).",non,oui
tutute,Sucette en matière souple données aux bébés pour combler leur besoin de succion et les apaiser.,non,oui
tututte,Petit objet doté d’une pièce en caoutchouc et servant de succédané de biberon afin d’occuper un petit enfant.,non,non
unicycle,"Véhicule composé d’une selle, d’un pédalier et d’une seule roue.",non,oui
unif,Université.,non,non
unionisme,Mouvement politique belge qui réunissait les catholiques et les libéraux.,non,oui
valve,"Dans une université, tableaux officiels d’affichage, protégés par de petites portes vitrées, où sont affichés, par exemple, les horaires de cours ou les résultats d’examens.",non,oui
valves,"Tableau d’affichage, dans le contexte étudiant. | Tableau d’affichage de petites annonces dans un magasin. Portail internet affichant des valves.",non,oui
vareuse,Maillot des équipes de football.,non,oui
variantes,Condiments.,non,oui
ventiler,"Changer les idées, chasser les pensées fixes, nocives ou abrutissantes.",non,oui
vespachienne,Synonyme de canisette.,non,non
vestiairiste,"Employé préposé au vestiaire, lieu de dépôt des vêtements.",non,non
viandeux,"Se dit d’un animal de boucherie bien fourni en viande, en particulier par opposition avec les animaux destinés à la production laitière.",non,oui
vidange,Bouteille consignée ; cadavre de bouteille.,non,oui
vide-poche,"Petit meuble, corbeille, coupe où l’on dépose ce qu’on a dans ses poches.",non,oui
vinculer,Entraver.,non,non
vitoulet,Boulette de viande de veau hachée.,non,non
vlek,"Sans valeur, de mauvaise qualité, fragile, en toc. | Distinction honorifique remise pour service rendu par un cercle ou une régionale ou un ordre.",non,oui
vol-bélier,Technique de cambriolage utilisant une voiture-bélier pour forcer l’entrée dans un établissement.,non,non
voyent,Troisième personne du pluriel de l'indicatif présent de voir. | Troisième personne du pluriel du subjonctif présent de voir.,non,non
vulcaniseur,Marchand de pneus.,non,non
wallingant,Partisan de l’autonomie de la Wallonie (dans le vocabulaire de ses opposants).,non,non
wallingantisme,Activisme politique des wallingants.,non,non
waréchaix,Terrain inculte.,non,non
wasserette,Buanderie ; blanchisserie ; laverie automatique.,non,oui
whist,Whist à la couleur.,non,oui
witloof,Légume de couleur blanche obtenu d’une variété de chicorée.,non,oui
yogourt,Variante de yaourt.,non,oui
zat,Saoul.,non,oui
zieverer,"Personne qui répète toujours la même chose, qui dit sans cesse des bêtises.",non,non
zine,"Lubie, idée ou envie momentanée.",non,oui
Zinneke,"Habitant de Bruxelles, généralement né à Bruxelles.",non,non
zivereer,"Bavard, radoteur. | Maladroit, déconneur.",non,non
zoning,Zone géographique prévue pour un usage industriel.,non,oui
zot,"Sot, idiot.",non,oui
zwanze,Humour typiquement gouailleux de Bruxelles mais aussi un art de vivre bruxellois.,non,oui
zwanzer,Plaisanter.,non,non
zwanzeur,Humoriste bruxellois.,non,non
zwanzeuse,Humoriste bruxelloise.,non,non
zérotage,Système financier consistant à exiger de l'emprunteur qu'il renfloue intégralement sa réserve d'argent dans les 5 ans avant de pouvoir y puiser de nouveau.,non,oui
à-fond,"Fait de boire un verre d’un trait, en particulier un verre de bière.",non,oui
à-foner,Boire un verre cul sec (en une seule fois).,non,non
échasseur,Jouteur sur échasses.,non,non
échevin,"Membre du collège communal à fonction exécutoire présidé par le bourgmestre, chargé d’un domaine de l’administration communale. Il est élu par le conseil communal en son sein, une entité distincte à fonction décisionnelle.",non,oui
échevinable,[En parlant d’une personne] Susceptible de devenir échevin.,non,oui
échevine,Femme membre du collège communal chargée d’un domaine de l’administration communale.,non,oui
écochèque,Crédit d’achat sous forme de chèque pouvant être utilisé pour l’achat de produits respectueux de l’environnement,non,non
écolage,"Temps passé à apprendre à conduire un véhicule, à l’école de conduite par exemple, ou à apprendre son métier (dans le cas de policiers en particulier).",non,oui
écureur,Personne chargée de l’entretien et du nettoyage.,non,oui
écureuse,Femme chargée de l’entretien.,non,oui
élocution,"Présentation orale sans interaction avec le public, dans un contexte scolaire.",non,oui
épluchoir,Outil du vannier pour ôter l'écorce de l'osier.,non,oui
équette,Copeau de bois.,non,non
évitement,Déviation.,non,oui
