mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
bouter,"(Vieilli, encore courant en Suisse romande et en Belgique) bouter le feu : Mettre le feu.",non,oui
boutroulle,Nombril.,non,non
boyard,"Personne mal habillée, vulgaire ; synonyme de baraki.",non,oui
braderie,Marché occasionnel souvent dans la rue où les particuliers et les professionnels vendent ce qu’ils veulent,non,oui
branchouille,Relatif à une personne branchée ou aux personnes branchées.,non,oui
brette,Sorte de querelle ou dispute.,non,oui
briquet,Collation que l’on emportait pour aller travailler.,non,oui
broebeler,"Variante orthographique de broubeler (bredouiller). | Bavarder, raconter des histoires, se vanter.",non,non
brol,"Désordre, bazar. | Camelote, objet sans valeur.",non,oui
broquer,"Se précipiter, souvent avec de mauvaises intentions.",non,oui
brosser,"Ne pas assister aux cours, ne pas aller à l’école.",non,oui
brosseur,Élève qui sèche les cours.,non,oui
brosseuse,Élève qui sèche les cours.,non,oui
broubeler,Baragouiner. | Bredouiller.,non,non
brusselaire,Variante de brusseleir.,non,non
brusseleir,"Dialecte constitué d’un mélange à proportion constamment variable de flamand et de français, à l’accent indéfinissable, en usage dans les couches populaires des Marolles à Bruxelles.",non,non
bruxellisation,Dégradation de l'environnement urbanistique et architectural provoquée par le laxisme des autorités publiques et les objectifs mercantiles des promoteurs immobiliers dans un cadre économique libéral.,non,non
brûlant,"Pyrosis, sensation de brûlure au niveau de l’œsophage.",non,oui
buire,"Variante de bure, le feu de joie.",non,oui
buse,"Échec à une élection, à un examen etc.",non,oui
buselure,"Pièce en forme d’anneau, destinée à absorber les chocs et les vibrations dans certains organes mécaniques, ou à assurer l'étanchéité. Silent-Bloc.",non,non
buser,Faire échouer un étudiant.,non,oui
busé,En échec dans une branche scolaire.,non,oui
buumdroeger,Porteur d’arbre. Personne portant le Meyboom(arbre planté lors d’une cérémonie à Bruxelles).,non,non
bâchire,Cloison de planches clouées dans une bure de houillère.,non,non
bâtissable,Qualifie une surface sur laquelle on peut bâtir.,non,oui
béton,Colostrum.,non,oui
caberdouche,"Cabaret, débit de boissons",non,non
cabinettard,Membre d'un cabinet ministériel.,non,non
cabinettarde,Membre d'un cabinet ministériel.,non,non
cabinier,"Synonyme de aiguilleur (travaillant dans un poste d’aiguillage, appelé « cabine »).",non,oui
cacaille,"Objet sans valeur. | Sans valeur, faux en parlant d'un objet prétendument ancien qui n’offre aucun caractère d’authenticité.",non,non
caillant,Très froid.,non,oui
calcareux,Calcaire.,non,oui
calebasse,"Petit appareil, proche du cubilot, utilisé pour fondre des métaux en petite quantité.",non,oui
calebasserie,"Atelier de fonderie, parfois itinérant, où l’on utilise la calebasse pour couler du métal en petite quantité.",non,non
calebassier,"Fondeur, parfois itinérant, utilisant l’appareil nommé calebasse pour couler des métaux.",non,oui
