graine,score_AVANCE,score_CHAMPION_DU_MONDE,vainqueur,a_commence,tours
144,215,274,CHAMPION_DU_MONDE,AVANCE,43
145,269,313,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,45
146,270,361,CHAMPION_DU_MONDE,AVANCE,42
147,204,317,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,52
148,119,140,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,22
149,119,189,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,26
150,214,401,CHAMPION_DU_MONDE,AVANCE,39
151,315,215,AVANCE,CHAMPION_DU_MONDE,43
152,141,269,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,36
153,235,271,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
154,261,349,CHAMPION_DU_MONDE,AVANCE,42
155,228,302,CHAMPION_DU_MONDE,AVANCE,45
156,292,377,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
157,273,382,CHAMPION_DU_MONDE,AVANCE,44
158,242,327,CHAMPION_DU_MONDE,AVANCE,39
159,281,312,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,45
160,211,372,CHAMPION_DU_MONDE,AVANCE,41
161,189,284,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
162,128,257,CHAMPION_DU_MONDE,AVANCE,22
163,180,195,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,27
164,134,239,CHAMPION_DU_MONDE,AVANCE,25
165,244,343,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
166,264,390,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
167,213,450,CHAMPION_DU_MONDE,AVANCE,40
168,110,203,CHAMPION_DU_MONDE,AVANCE,21
169,229,327,CHAMPION_DU_MONDE,AVANCE,43
170,210,312,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
171,238,374,CHAMPION_DU_MONDE,AVANCE,38
172,190,305,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,44
173,187,385,CHAMPION_DU_MONDE,AVANCE,34
174,242,398,CHAMPION_DU_MONDE,AVANCE,40
175,228,375,CHAMPION_DU_MONDE,AVANCE,40
176,251,330,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,51
177,204,285,CHAMPION_DU_MONDE,AVANCE,45
178,101,192,CHAMPION_DU_MONDE,AVANCE,24
179,250,326,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
180,278,394,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,48
181,227,391,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
182,243,507,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
183,193,290,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,34
184,318,260,AVANCE,AVANCE,45
185,153,281,CHAMPION_DU_MONDE,AVANCE,27
186,191,317,CHAMPION_DU_MONDE,AVANCE,38
187,70,126,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,19
188,293,288,AVANCE,AVANCE,45
189,294,272,AVANCE,AVANCE,46
190,179,243,CHAMPION_DU_MONDE,AVANCE,27
191,199,329,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,44
192,260,245,AVANCE,AVANCE,39
193,251,352,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
194,306,420,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
195,240,246,CHAMPION_DU_MONDE,AVANCE,47
196,87,253,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,23
197,309,269,AVANCE,AVANCE,38
198,151,257,CHAMPION_DU_MONDE,AVANCE,37
199,278,395,CHAMPION_DU_MONDE,AVANCE,45
